what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1666079214557
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1666079214557
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1666079214559
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1666079214560
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1666079214562
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1666079214563
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1666079214564
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1666079214565
os,sysinfo,,,"win32",1666079214568
arch,sysinfo,,,"x86",1666079214568
ws,sysinfo,,,"win32",1666079214568
locale,sysinfo,,,"en_US",1666079214568
processors,sysinfo,,,"8",1666079214568
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1666079214568
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1666079214568
java.specification.name,sysinfo,,,"Java Platform API Specification",1666079214568
java.specification.vendor,sysinfo,,,"Oracle Corporation",1666079214568
java.specification.version,sysinfo,,,"1.7",1666079214568
java.vendor,sysinfo,,,"Oracle Corporation",1666079214568
java.version,sysinfo,,,"1.7.0_02",1666079214568
java.vm.info,sysinfo,,,"mixed mode, sharing",1666079214568
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1666079214568
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1666079214568
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1666079214568
java.vm.specification.version,sysinfo,,,"1.7",1666079214568
java.vm.vendor,sysinfo,,,"Oracle Corporation",1666079214568
java.vm.version,sysinfo,,,"22.0-b10",1666079214568
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1666079215582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666079216594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666079227111
started,bundle,com.sysdeo.eclipse.tomcat,3.3.0,"com.sysdeo.eclipse.tomcat",1666079233331
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1666079233579
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1666079233690
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1666079233909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666079237748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666079270501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666079272166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666079274517
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666079274930
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1666079275322
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1666079275485
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1666079275487
